prompt,Payment ID,Sentiment_Result,Sentiment_Label,Sentiment_Score
"Payment PAYMENT-000000 of ₹3746 from account XXXXXXXX3489 was processed on 2025-07-10 with Single validation.
First validation completed on 20250708 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000000,"{'label': 'LABEL_0', 'score': 0.685}",LABEL_0,0.685
"Payment PAYMENT-000001 of ₹4968 from account XXXXXXXX4195 was processed on 2025-07-11 with Single validation.
First validation completed on 20250710 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000001,"{'label': 'LABEL_0', 'score': 0.568}",LABEL_0,0.568
"Payment PAYMENT-000002 of ₹9482 from account XXXXXXXX6288 was processed on 2025-07-28 with Dual validation.
First validation completed on 20250725 with outcome: PASSED.
Second validation completed on 20250722 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000002,"{'label': 'LABEL_0', 'score': 0.597}",LABEL_0,0.597
"Payment PAYMENT-000003 of ₹7843 from account XXXXXXXX7527 was processed on 2025-06-24 with Dual validation.
First validation completed on 20250619 with outcome: PASSED.
Second validation completed on 20250617 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000003,"{'label': 'LABEL_1', 'score': 0.514}",LABEL_1,0.514
"Payment PAYMENT-000004 of ₹9971 from account XXXXXXXX5047 was processed on 2025-07-21 with Dual validation.
First validation completed on 20250719 with outcome: PASSED.
Second validation completed on 20250718 with outcome: FAILED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000004,"{'label': 'LABEL_0', 'score': 0.549}",LABEL_0,0.549
"Payment PAYMENT-000005 of ₹7405 from account XXXXXXXX9487 was processed on 2025-07-10 with Dual validation.
First validation completed on 20250705 with outcome: PASSED.
Second validation completed on 20250704 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000005,"{'label': 'LABEL_0', 'score': 0.583}",LABEL_0,0.583
"Payment PAYMENT-000006 of ₹485 from account XXXXXXXX9184 was processed on 2025-06-06 with Single validation.
First validation completed on 20250603 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000006,"{'label': 'LABEL_0', 'score': 0.583}",LABEL_0,0.583
"Payment PAYMENT-000007 of ₹6726 from account XXXXXXXX7017 was processed on 2025-07-30 with Dual validation.
First validation completed on 20250725 with outcome: PASSED.
Second validation completed on 20250724 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000007,"{'label': 'LABEL_0', 'score': 0.552}",LABEL_0,0.552
"Payment PAYMENT-000008 of ₹1939 from account XXXXXXXX2776 was processed on 2025-06-21 with Single validation.
First validation completed on 20250620 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000008,"{'label': 'LABEL_0', 'score': 0.667}",LABEL_0,0.667
"Payment PAYMENT-000009 of ₹1314 from account XXXXXXXX9038 was processed on 2025-06-30 with Single validation.
First validation completed on 20250625 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000009,"{'label': 'LABEL_0', 'score': 0.613}",LABEL_0,0.613
