Payment ID,Q1 Label,Q2 Label
PAYMENT-000000,No,Yes
PAYMENT-000001,No,Yes
PAYMENT-000002,Yes,Yes
PAYMENT-000003,Yes,Yes
PAYMENT-000004,Yes,No
PAYMENT-000005,Yes,Yes
PAYMENT-000006,No,Yes
PAYMENT-000007,Yes,Yes
PAYMENT-000008,No,Yes
PAYMENT-000009,No,Yes
PAYMENT-000010,Yes,No
PAYMENT-000011,No,Yes
PAYMENT-000012,Yes,Yes
PAYMENT-000013,No,Yes
PAYMENT-000014,Yes,Yes
PAYMENT-000015,No,Yes
PAYMENT-000016,Yes,Yes
PAYMENT-000017,No,Yes
PAYMENT-000018,No,Yes
PAYMENT-000019,Yes,No
PAYMENT-000020,No,Yes
PAYMENT-000021,Yes,Yes
PAYMENT-000022,No,Yes
PAYMENT-000023,No,Yes
PAYMENT-000024,No,Yes
PAYMENT-000025,No,Yes
PAYMENT-000026,No,Yes
PAYMENT-000027,No,Yes
PAYMENT-000028,No,Yes
PAYMENT-000029,Yes,Yes
PAYMENT-000030,Yes,Yes
PAYMENT-000031,Yes,Yes
PAYMENT-000032,No,Yes
PAYMENT-000033,Yes,Yes
PAYMENT-000034,No,Yes
PAYMENT-000035,No,Yes
PAYMENT-000036,No,Yes
PAYMENT-000037,No,Yes
PAYMENT-000038,No,Yes
PAYMENT-000039,Yes,Yes
PAYMENT-000040,Yes,Yes
PAYMENT-000041,No,Yes
PAYMENT-000042,No,Yes
PAYMENT-000043,Yes,Yes
PAYMENT-000044,No,Yes
PAYMENT-000045,Yes,Yes
PAYMENT-000046,No,Yes
PAYMENT-000047,No,Yes
PAYMENT-000048,No,Yes
PAYMENT-000049,Yes,Yes
PAYMENT-000050,Yes,Yes
PAYMENT-000051,No,Yes
PAYMENT-000052,Yes,Yes
PAYMENT-000053,No,Yes
PAYMENT-000054,No,Yes
PAYMENT-000055,Yes,Yes
PAYMENT-000056,Yes,Yes
PAYMENT-000057,No,Yes
PAYMENT-000058,Yes,Yes
PAYMENT-000059,Yes,Yes
PAYMENT-000060,Yes,Yes
PAYMENT-000061,Yes,Yes
PAYMENT-000062,Yes,No
PAYMENT-000063,No,Yes
PAYMENT-000064,Yes,Yes
PAYMENT-000065,Yes,Yes
