prompt,Payment ID,NER_Entities
"Payment PAYMENT-000000 of ₹9689 from account XXXXXXXX1186 was processed on 2025-07-18 with Dual validation.
First validation completed on 20250714 with outcome: PASSED.
Second validation completed on 20250711 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000000,{}
"Payment PAYMENT-000001 of ₹618 from account XXXXXXXX2014 was processed on 2025-06-23 with Single validation.
First validation completed on 20250618 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000001,{}
"Payment PAYMENT-000002 of ₹4189 from account XXXXXXXX5115 was processed on 2025-07-21 with Single validation.
First validation completed on 20250719 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000002,{}
"Payment PAYMENT-000003 of ₹798 from account XXXXXXXX2231 was processed on 2025-07-08 with Single validation.
First validation completed on 20250707 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000003,{}
"Payment PAYMENT-000004 of ₹1715 from account XXXXXXXX1745 was processed on 2025-07-14 with Single validation.
First validation completed on 20250710 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000004,{}
"Payment PAYMENT-000005 of ₹5977 from account XXXXXXXX6998 was processed on 2025-06-26 with Dual validation.
First validation completed on 20250625 with outcome: PASSED.
Second validation completed on 20250623 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000005,{}
"Payment PAYMENT-000006 of ₹7730 from account XXXXXXXX9887 was processed on 2025-06-27 with Dual validation.
First validation completed on 20250624 with outcome: PASSED.
Second validation completed on 20250623 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000006,{}
"Payment PAYMENT-000007 of ₹8813 from account XXXXXXXX1273 was processed on 2025-07-25 with Dual validation.
First validation completed on 20250721 with outcome: PASSED.
Second validation completed on 20250719 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000007,{}
"Payment PAYMENT-000008 of ₹2656 from account XXXXXXXX8496 was processed on 2025-07-20 with Single validation.
First validation completed on 20250717 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000008,{}
"Payment PAYMENT-000009 of ₹1065 from account XXXXXXXX7544 was processed on 2025-06-06 with Single validation.
First validation completed on 20250602 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000009,{}
"Payment PAYMENT-000010 of ₹197 from account XXXXXXXX5792 was processed on 2025-06-02 with Single validation.
First validation completed on 20250528 with outcome: FAILED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000010,{}
"Payment PAYMENT-000011 of ₹8546 from account XXXXXXXX8226 was processed on 2025-06-05 with Dual validation.
First validation completed on 20250603 with outcome: PASSED.
Second validation completed on 20250531 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000011,{}
"Payment PAYMENT-000012 of ₹458 from account XXXXXXXX5823 was processed on 2025-06-11 with Single validation.
First validation completed on 20250610 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000012,{}
"Payment PAYMENT-000013 of ₹1410 from account XXXXXXXX9948 was processed on 2025-06-09 with Single validation.
First validation completed on 20250607 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000013,{}
"Payment PAYMENT-000014 of ₹1136 from account XXXXXXXX2667 was processed on 2025-07-31 with Single validation.
First validation completed on 20250728 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000014,{}
"Payment PAYMENT-000015 of ₹2896 from account XXXXXXXX9385 was processed on 2025-07-16 with Single validation.
First validation completed on 20250711 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000015,{}
"Payment PAYMENT-000016 of ₹3365 from account XXXXXXXX2222 was processed on 2025-07-07 with Single validation.
First validation completed on 20250703 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000016,{}
"Payment PAYMENT-000017 of ₹8906 from account XXXXXXXX9401 was processed on 2025-06-13 with Dual validation.
First validation completed on 20250610 with outcome: PASSED.
Second validation completed on 20250609 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000017,{}
"Payment PAYMENT-000018 of ₹9808 from account XXXXXXXX6700 was processed on 2025-07-27 with Dual validation.
First validation completed on 20250722 with outcome: PASSED.
Second validation completed on 20250721 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000018,{}
"Payment PAYMENT-000019 of ₹304 from account XXXXXXXX6482 was processed on 2025-07-20 with Single validation.
First validation completed on 20250715 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000019,{}
"Payment PAYMENT-000020 of ₹2017 from account XXXXXXXX3610 was processed on 2025-06-10 with Single validation.
First validation completed on 20250606 with outcome: FAILED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000020,{}
"Payment PAYMENT-000021 of ₹2390 from account XXXXXXXX6099 was processed on 2025-06-05 with Single validation.
First validation completed on 20250602 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000021,{}
"Payment PAYMENT-000022 of ₹2073 from account XXXXXXXX2741 was processed on 2025-06-17 with Single validation.
First validation completed on 20250613 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000022,{}
"Payment PAYMENT-000023 of ₹1016 from account XXXXXXXX5380 was processed on 2025-06-29 with Single validation.
First validation completed on 20250626 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000023,{}
"Payment PAYMENT-000024 of ₹7669 from account XXXXXXXX6530 was processed on 2025-07-19 with Dual validation.
First validation completed on 20250718 with outcome: PASSED.
Second validation completed on 20250717 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000024,{}
"Payment PAYMENT-000025 of ₹8958 from account XXXXXXXX6268 was processed on 2025-06-06 with Dual validation.
First validation completed on 20250602 with outcome: PASSED.
Second validation completed on 20250530 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000025,{}
"Payment PAYMENT-000026 of ₹7585 from account XXXXXXXX1648 was processed on 2025-07-14 with Dual validation.
First validation completed on 20250710 with outcome: PASSED.
Second validation completed on 20250709 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000026,{}
"Payment PAYMENT-000027 of ₹8652 from account XXXXXXXX3491 was processed on 2025-07-29 with Dual validation.
First validation completed on 20250728 with outcome: PASSED.
Second validation completed on 20250727 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000027,{}
"Payment PAYMENT-000028 of ₹5627 from account XXXXXXXX1803 was processed on 2025-07-08 with Dual validation.
First validation completed on 20250707 with outcome: PASSED.
Second validation completed on 20250704 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000028,{}
"Payment PAYMENT-000029 of ₹1724 from account XXXXXXXX4383 was processed on 2025-07-23 with Single validation.
First validation completed on 20250720 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000029,{}
"Payment PAYMENT-000030 of ₹1022 from account XXXXXXXX1827 was processed on 2025-06-24 with Single validation.
First validation completed on 20250621 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000030,{}
"Payment PAYMENT-000031 of ₹8890 from account XXXXXXXX8625 was processed on 2025-06-08 with Dual validation.
First validation completed on 20250607 with outcome: PASSED.
Second validation completed on 20250604 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000031,{}
"Payment PAYMENT-000032 of ₹8131 from account XXXXXXXX3611 was processed on 2025-07-16 with Dual validation.
First validation completed on 20250715 with outcome: PASSED.
Second validation completed on 20250714 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations pass for this payment?",PAYMENT-000032,{}
