prompt,Payment ID
"Payment PAYMENT-000000 of ₹3746 from account XXXXXXXX3489 was processed on 2025-07-10 with Single validation.
First validation completed on 20250708 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000000
"Payment PAYMENT-000001 of ₹4968 from account XXXXXXXX4195 was processed on 2025-07-11 with Single validation.
First validation completed on 20250710 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000001
"Payment PAYMENT-000002 of ₹9482 from account XXXXXXXX6288 was processed on 2025-07-28 with Dual validation.
First validation completed on 20250725 with outcome: PASSED.
Second validation completed on 20250722 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000002
"Payment PAYMENT-000003 of ₹7843 from account XXXXXXXX7527 was processed on 2025-06-24 with Dual validation.
First validation completed on 20250619 with outcome: PASSED.
Second validation completed on 20250617 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000003
"Payment PAYMENT-000004 of ₹9971 from account XXXXXXXX5047 was processed on 2025-07-21 with Dual validation.
First validation completed on 20250719 with outcome: PASSED.
Second validation completed on 20250718 with outcome: FAILED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000004
"Payment PAYMENT-000005 of ₹7405 from account XXXXXXXX9487 was processed on 2025-07-10 with Dual validation.
First validation completed on 20250705 with outcome: PASSED.
Second validation completed on 20250704 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000005
"Payment PAYMENT-000006 of ₹485 from account XXXXXXXX9184 was processed on 2025-06-06 with Single validation.
First validation completed on 20250603 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000006
"Payment PAYMENT-000007 of ₹6726 from account XXXXXXXX7017 was processed on 2025-07-30 with Dual validation.
First validation completed on 20250725 with outcome: PASSED.
Second validation completed on 20250724 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000007
"Payment PAYMENT-000008 of ₹1939 from account XXXXXXXX2776 was processed on 2025-06-21 with Single validation.
First validation completed on 20250620 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000008
"Payment PAYMENT-000009 of ₹1314 from account XXXXXXXX9038 was processed on 2025-06-30 with Single validation.
First validation completed on 20250625 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000009
"Payment PAYMENT-000010 of ₹9152 from account XXXXXXXX6404 was processed on 2025-06-04 with Dual validation.
First validation completed on 20250601 with outcome: PASSED.
Second validation completed on 20250530 with outcome: FAILED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000010
"Payment PAYMENT-000011 of ₹1247 from account XXXXXXXX5864 was processed on 2025-06-24 with Single validation.
First validation completed on 20250619 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000011
"Payment PAYMENT-000012 of ₹9638 from account XXXXXXXX9789 was processed on 2025-07-11 with Dual validation.
First validation completed on 20250706 with outcome: PASSED.
Second validation completed on 20250705 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000012
"Payment PAYMENT-000013 of ₹3179 from account XXXXXXXX3139 was processed on 2025-07-19 with Single validation.
First validation completed on 20250715 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000013
"Payment PAYMENT-000014 of ₹6953 from account XXXXXXXX7108 was processed on 2025-06-22 with Dual validation.
First validation completed on 20250617 with outcome: PASSED.
Second validation completed on 20250616 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000014
"Payment PAYMENT-000015 of ₹4205 from account XXXXXXXX3509 was processed on 2025-06-29 with Single validation.
First validation completed on 20250626 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000015
"Payment PAYMENT-000016 of ₹6916 from account XXXXXXXX1954 was processed on 2025-06-17 with Dual validation.
First validation completed on 20250612 with outcome: PASSED.
Second validation completed on 20250611 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000016
"Payment PAYMENT-000017 of ₹4831 from account XXXXXXXX2315 was processed on 2025-06-22 with Single validation.
First validation completed on 20250621 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000017
"Payment PAYMENT-000018 of ₹1616 from account XXXXXXXX4400 was processed on 2025-06-26 with Single validation.
First validation completed on 20250621 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000018
"Payment PAYMENT-000019 of ₹8898 from account XXXXXXXX2591 was processed on 2025-06-25 with Dual validation.
First validation completed on 20250621 with outcome: FAILED.
Second validation completed on 20250619 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000019
"Payment PAYMENT-000020 of ₹481 from account XXXXXXXX7240 was processed on 2025-07-13 with Single validation.
First validation completed on 20250712 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000020
"Payment PAYMENT-000021 of ₹6296 from account XXXXXXXX7942 was processed on 2025-07-23 with Dual validation.
First validation completed on 20250720 with outcome: PASSED.
Second validation completed on 20250719 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000021
"Payment PAYMENT-000022 of ₹7072 from account XXXXXXXX5592 was processed on 2025-06-10 with Single validation.
First validation completed on 20250608 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000022
"Payment PAYMENT-000023 of ₹1513 from account XXXXXXXX4236 was processed on 2025-06-08 with Single validation.
First validation completed on 20250606 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000023
"Payment PAYMENT-000024 of ₹1636 from account XXXXXXXX4119 was processed on 2025-06-21 with Single validation.
First validation completed on 20250617 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000024
"Payment PAYMENT-000025 of ₹3990 from account XXXXXXXX7846 was processed on 2025-07-25 with Single validation.
First validation completed on 20250721 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000025
"Payment PAYMENT-000026 of ₹564 from account XXXXXXXX2236 was processed on 2025-07-20 with Single validation.
First validation completed on 20250717 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000026
"Payment PAYMENT-000027 of ₹2351 from account XXXXXXXX5729 was processed on 2025-06-10 with Single validation.
First validation completed on 20250609 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000027
"Payment PAYMENT-000028 of ₹987 from account XXXXXXXX2511 was processed on 2025-06-17 with Single validation.
First validation completed on 20250613 with outcome: PASSED.

Q1: Is Dual validation applied when the payment amount is above ₹5000?
Q2: Did all applicable validations passed for this payment?",PAYMENT-000028
